Sr No.,Project Name,Sponsoring Authority,Location,Sector,Sub Sector,Total Project Cost (In Rs. Crore),PPPAC Meeting Date,Meeting Number,Recommended For
341,Four laning of Baihata Chariali to Tejpur Section of NH-52 (Km 0.00 to km 130.00) in the State of Assam under NHDP Phase III on BOT basis.,Ministry of Road Transport and Highways,Assam,Transport and Logistics,Roads,1204,30.04.2008,14th PPPAC,Final approval
342,Four laning of Tirupati-Tiruthani-Chennai section of NH 205 from km 274.800 to km 341.600 in Andhra Pradesh and km 0 to 59.60 in Tamil Nadu Under NHDP Phase III on BOT Basis,Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,802,30.04.2008,14th PPPAC,Final approval
343,Revitalisation of Old Mint Complex and development of Tourism Infrastructure,Department of Economic Affairs (Currency and Coinage Division),West Bengal,Social and Commercial Infrastructure,Tourism,149,30.04.2008,14th PPPAC,Final approval
344,City side development of Udaipur Airport through PPP,Ministry of Civil Aviation,Rajasthan,Transport and Logistics,Airport,0,30.04.2008,14th PPPAC,In-principle approval
345,City side development of Amritsar Airport through PPP,Ministry of Civil Aviation,Punjab,Transport and Logistics,Airport,0,30.04.2008,14th PPPAC,In-principle approval
346,Four laning of Kundapur to Suratkal section ( Km 284 to 358) and Mangalore-Kerala border section (km 375.300 to 376.700 and from Km3.700 to 17.200) of NH 17 Under NHDP Phase III on BOT Basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,616,30.04.2008,14th PPPAC,Final approval
347,Four Laning of Rimuli Roxy Rajamunda Section of NH 215 from Km 163 to Km 269 in the State of Orissa under NHDP Phase IIIA on BOT Basis.,Ministry of Road Transport and Highways,Odisha,Transport and Logistics,Roads,654,05.11.2007,13th PPPAC,Final approval
348,"Design Construction, Finance, Operation and maintenance of Hyderabad-Vijayawada section including Design, Engineering Finance, Consttruction of additional Two Laning/future Six Laning of NH 9 in the State of Andhra Pradesh (km 40 to km 160)",Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,968,05.11.2007,13th PPPAC,Final approval
349,"Design Construction, Finance, Operation and maintenance of Hyderabad-Vijayawada section including Design, Engineering Finance, Construction of additional Two Laning/future Six Laning of NH 9 in the State of Andhra Pradesh (km 160 to km 221.5)",Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,492,05.11.2007,13th PPPAC,Final approval
350,Four Laning of Jorabat-Barapani section from km. 0 to 61.800 of NH 40 in the state of Meghalaya under SARDP NE Phase A on BOT Annuity basis.,Ministry of Road Transport and Highways,Meghalaya,Transport and Logistics,Roads,536,05.11.2007,13th PPPAC,Final approval
351,Six Laning of Pimpalgaon-Nashik-Gonde section of NH-3 in the State of Maharashtra under NHDP Phase IIIA on BOT basis.,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,752,05.11.2007,13th PPPAC,Final approval
352,"Design Engineering, Construction, Development, Finance and Operation and maintenance of MP/Maharashtra Border Dhule section of NH 3",Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,675,05.11.2007,13th PPPAC,Final approval
353,"Design, Engineering, Construction, Finance and Maintenance of Jaipur Reengus section of NH 11",Ministry of Road Transport and Highways,Rajasthan,Transport and Logistics,Roads,343,05.11.2007,13th PPPAC,Final approval
354,Six Laning of Surat-Dahisar Section of NH-8 (239 Km) in Gujarat and Maharashtra,Ministry of Road Transport and Highways,Maharashtra,Transport and Logistics,Roads,1406,11.05.2007,10th PPPAC,Final approval
355,Six Laning of Panipat - Jalandhar Section of NH-1 (291 Km) in Haryana and Punjab.,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,2288,11.05.2007,10th PPPAC,Final approval
356,"Six Laning of Chilkaluripet-Vijayawada, including Guntur bypass and Mangalagiri bypass of Chennai-Vijayawada Section of NH-5 in Andhra Pradesh.",Ministry of Road Transport and Highways,Andhra Pradesh,Transport and Logistics,Roads,572,11.05.2007,10th PPPAC,Final approval
357,Six Laning of Chennai-Tada Section of NH-5 (43 Km) in Tamil Nadu,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,353,11.05.2007,10th PPPAC,Final approval
358,Six Laning of Gurgaon-Kotputli-Jaipur Section of NH-8 in Haryana/Rajasthan on BOT (Toll) basis following by DBFO pattern.,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,1674,11.05.2007,10th PPPAC,Final approval
359,Six Laning of Vadakkancherry to Thrissur Section (Package No.NS-2/BOT/KL-3,Ministry of Road Transport and Highways,Kerala,Transport and Logistics,Roads,514,11.05.2007,10th PPPAC,Final approval
360,Four laning of Amritsar Wagha Boarder Section from Km.455.400 to Km 491.330 of NH-I in the State of Punjab on BOT basis.,Ministry of Road Transport and Highways,Punjab,Transport and Logistics,Roads,206,16.01.2007,8th PPPAC,Final approval
361,Four Laning of Khalghat-MP/ Maharashtra Border section of NH-3 from Km. 84.700 to Km.167.500 in the state of M.P. on BOT basis.,Ministry of Road Transport and Highways,Madhya Pradesh,Transport and Logistics,Roads,549,16.01.2007,8th PPPAC,Final approval
362,"Construction of Elevated Six Lane Highway (Flyover) from Km.16,100 (In Delhi) to Km.20.500 (Haryana) and its approaches on NH-2 (Delhi Agra Section) on BOT basis.",Ministry of Road Transport and Highways,Uttar Pradesh,Transport and Logistics,Roads,294,19.12.2006,6th PPPAC,Final approval
363,Development of 13th to 16th Multipurpose Cargo (other than Liquid/Container) Berths at Kandla Port basis,Ministry of Shipping,Gujarat,Transport and Logistics,Ports,440,08.11.2006,5th PPPAC,Final approval
364,Construction of Access Controlled Highways from Km. 10/0 to Km. 29/5 of Bangolore section of NH-4 in the state of Karnataka on BOT basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,380,01.11.2006,4th PPPAC,Final approval
365,Four Laning of Nelamangala Junction on NH-4 with NH-48 to Devihalli in the state of Karnataka under NHDP phase III A on BOT basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,441,01.11.2006,4th PPPAC,Final approval
366,Widening of Existing Two Lane carriageway to Four/Six lane divided carriageway configuration of Bangalore -Hoskate - Mulbagal section of NH-4 in the state of Karnataka under NHDP phase III A on BOT basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,565,01.11.2006,4th PPPAC,Final approval
367,Four Laning of Devilalli Hassan Section of NH- 48 in the state of Karnataka under NHDP phase III A on BOT basis,Ministry of Road Transport and Highways,Karnataka,Transport and Logistics,Roads,440,01.11.2006,4th PPPAC,Final approval
368,Four Laning from Junction of NH-68 with NH-7 near Salem to Junction of NH-68 with NH-45 near Ulundrupet in the state of Tamil Nadu under NHDP Phase III A on BOT,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,941,01.11.2006,4th PPPAC,Final approval
369,Four Laning from Trichy city of NH-45 to Dindigul on NH-45 in the state of Tamil Nadu under NHDP Phase III A on BOT basis,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,576,01.11.2006,4th PPPAC,Final approval
370,Four Laning of Trichy city Junction with NH-45 B on NH-67 to Karur on NH-67 in the state of Tamil Nadu under NHDP Phase III A on BOT basis,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,516,01.11.2006,4th PPPAC,Final approval
371,Four Laning of Pondicherry to Tindivanam on NH-66 in the state of Tamil Nadu under NHDP Phase III A on BOT basis,Ministry of Road Transport and Highways,Tamil Nadu,Transport and Logistics,Roads,285,01.11.2006,4th PPPAC,Final approval
372,"Six/Four Laning of Zirakpur - Parwanoo section of NH-22 including Pinjore - Kalka - Parwanoo bypass in Punjab, Haryana and Himachal Pradesh under NHDP Phase III A",Ministry of Road Transport and Highways,Himachal Pradesh,Transport and Logistics,Roads,295,01.11.2006,4th PPPAC,Final approval
373,Six/Four Laning of Delhi - Haryana Border to Rohtak Section of NH-10 from Km 29.70 to Km 87.00 including construction of Bahadurgarh and Rohtak Bypasses in Haryana under NHDP Phase IIIA,Ministry of Road Transport and Highways,Haryana,Transport and Logistics,Roads,486,11.10.2006,3th PPPAC,Final approval
374,Setting up of Iron ore handling facilities on BOT basis at New Mangalore Port,Ministry of Shipping,Karnataka,Transport and Logistics,Ports,103,29.08.2006,2nd PPPAC,In-principle approval
